scenario_id,scenario,error
103,"{'altitude': 24922.539282083264, 'time_at_altitude': 79.93578630845758, 'prebreathing_time': 112.9982892287128, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
104,"{'altitude': 23972.851971449225, 'time_at_altitude': 234.58525944804245, 'prebreathing_time': 184.23955452038015, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
105,"{'altitude': 22013.548389009276, 'time_at_altitude': 15.53644700050636, 'prebreathing_time': 44.592022513578115, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
106,"{'altitude': 19785.65530046503, 'time_at_altitude': 281.84304412112874, 'prebreathing_time': 227.93219949277167, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
107,"{'altitude': 18258.378480530915, 'time_at_altitude': 116.42631842840169, 'prebreathing_time': 25.886226717665373, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
108,"{'altitude': 22729.842645290362, 'time_at_altitude': 126.9348818647952, 'prebreathing_time': 206.66883778269266, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
109,"{'altitude': 22082.299615686075, 'time_at_altitude': 15.240402254031281, 'prebreathing_time': 44.25518186997803, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
110,"{'altitude': 20000.052284105244, 'time_at_altitude': 85.88622484767426, 'prebreathing_time': 74.78800962733447, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
111,"{'altitude': 21668.750355731434, 'time_at_altitude': 110.18564196609701, 'prebreathing_time': 191.04914687547034, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
112,"{'altitude': 24528.247307511883, 'time_at_altitude': 19.69242673608433, 'prebreathing_time': 217.8182647608097, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
